Acronyme	Nom	Directeur	Rattachement	Adresse	Tel	Fax	Présentation	Axes de recherche	Mail	Coordonnées GPS	Site Web	Réseaux sociaux	divers	lien	geoTable
CARISM	CENTRE D'ANALYSE ET DE RECHERCHE INTERDISCIPLINAIRE SUR LES MEDIAS	M. Frédéric LAMBERT	PARIS 2	CARISM - IFP, 4 rue Blaise Desgoffe - 75006  PARIS	01 53 63 53 23		Interdisciplinaire : droit, économie, géopolitique, histoire, sémiotique, sociologie.	"1. Culture de la démocratie et productions médiatiques
2. Reconfiguration des marchés des biens médiatiques et culturels et pratiques amateur
3. Internationalisation des médias"	http://carism.u-paris2.fr/accueil/contact	48.846305,2.324098	http://carism.u-paris2.fr/				[48.846305,2.324098],['CARISM'],
DE VISU	DESIGN VISUEL ET URBAIN	Mme Sylvie LELEU-MERVIEL	VALENCIENNES	Le Mont Houy - 59313 VALENCIENNES	03 27 51 15 05	03 27 51 15 01	Pluridisciplinaire : disciplines scientifiques connexes	"1. Communication appliquée à l’architecture et l’urbanisme
2. Ingénierie du document audiovisuel et multimédia
3. Qualité de l’information, de la connaissance et des communications dans les organisations et les sociétés"	sylvie.merviel@univ-valenciennes.fr	50.353826,3.510858	http://www.univ-valenciennes.fr/LSC/index-lsc		en savoir plus	http://recherche.univ-montp3.fr/ceric/colloque-la-culture-en-projet/	[50.353826,3.510858],['DE VISU'],
CEDITEC	CENTRE D'ETUDE DES DISCOURS, IMAGES, TEXTES, ECRITS ET COMMUNICATIONS	"M.Dominique DUCARD
Mme Caroline OLLIVIER-YANIV"	PARIS 12	61, avenue du Général de Gaulle - 94010 CRETEIL	01 45 17 71 87		équipe interdisciplinaire	"- L’étude des discours : concepts et méthodes
- Communication et discours politique et social
- Dispositifs et inscriptions médiatiques : TIC, Médias"	ceditec@u-pec.fr	48.788488,2.446021	http://ceditec.u-pec.fr/				[48.788488,2.446021],['CEDITEC'],
CEMTI	CENTRE D'ETUDES SUR LES MEDIAS, LES TECHNOLOGIES ET L'INTERNATIONALISATION	M. Jacques GUYOT http://www2.univ-paris8.fr/cemti/spip.php?article8	PARIS 8	UFR Culture et Communication, Université Paris 8, 2 rue de la Liberté - 93526 SAINT-DENIS	01 49 40 66 57	01 49 40 66 57		"Médias, cultures, marges 
http://www2.univ-paris8.fr/cemti/spip.php?article4"	jacques.guyot@univ-paris8.fr	48.946575, 2.363420	http://www2.univ-paris8.fr/cemti/				[48.946575, 2.363420],['CEMTI'],
CREM	CENTRE DE RECHERCHE SUR LES MEDIATIONS	M. Jacques WALTER	"UNIVERSITE DE LORRAINE
UNIVERSITE DE HTE ALSACE"	Université de Lorraine-Metz, UFR Sciences humaines et Arts, Ile du Saulcy - 57006 METZ	03 87 54 74 98		L'unité regroupe des enseignants-chercheurs, des docteurs et doctorants d'un établissement contractant (université de Lorraine) et d’un établissement associé (université de Haute-Alsace). Des chercheurs isolés sont également rattachés au laboratoire. Multi-sites depuis 2007, le laboratoire est implanté à Metz, Nancy et Mulhouse. A ce titre, il s'inscrit pleinement dans l'université de Lorraine créée en janvier 2012.	"Le Centre de recherche sur les médiations prend acte d’une réalité : la coexistence de médias de plus en plus diversifiés, les interrelations qui en découlent, la restructuration de leurs cadres économiques et industriels comme celle des pratiques de production et d’appropriation à l’échelon international. Les chercheurs interrogent aussi les phénomènes de médiation et de création
 sur les plans technique, organisationnel, politique, interculturel, 
sémantique, littéraire, esthétique et artistique. S’ensuivent des 
travaux visant à modéliser ces dynamiques, à cerner les enjeux des 
rapports à des normes et à des écarts, à comprendre les processus de 
régulation."	jacques.walter@univ-metz.fr	49.12134,6.164485	http://www.univ-metz.fr/ufr/sha/crem/				[49.12134,6.164485],['CREM'],
CERES	CENTRE DE RECHERCHES SEMIOTIQUES	Isabelle Klock-Fontanille ou Anne GESLIN BEYAERT ???	LIMOGES	Faculté des Lettres et des Sciences Humaines, 39 rue Camille Guérin - 87036 LIMOGES	05 55 43 56 00	05 55 43 56 03		"1/Sémiotique: Texte, objet, image -  Sémiotique et perception -   Communication et interaction
2/    Ecriture, support, média
3/    Linguistique"	isabelle.klock-fontanille@unilim.fr	45.817166,1.22823	http://recherche.flsh.unilim.fr/ceres/				[45.817166,1.22823],['CERES'],
I3M	INFORMATION MILIEUX MÉDIAS MÉDIATIONS	M. Philippe DUMAS (co-directeur) et M. Bruno RAVAZ (co-directeur adjoint)	UNIVERSITE DU SUD TOULON/VAR	Université du Sud Toulon-Var, Bâtiments C & Z, Avenue de l'Université - 83957 LA GARDE	04 94 14 28 95	04 94 14 22 93	Multi-sites depuis 2007, le laboratoire est implanté à Metz, Nancy et Mulhouse. A ce titre, il s'inscrit pleinement dans l'université de Lorraine créée en janvier 2012.	DISPOSITIFS SOCIO-TECHNIQUES D’INFORMATION ET DE COMMUNICATION	dumas@univ-tln.fr	43.136898,6.018616	http://i3m.univ-tln.fr/				[43.136898,6.018616],['I3M'],
I3M	INFORMATION MILIEUX MÉDIAS MÉDIATIONS	M. Paul RASSE (co-directeur) et M. Norbert HILLAIRE (co-directeur adjoint)	UNIVERSITE DE NICE SOPHIA ANTIPOLIS	UFR LASH, 98 Bd Edouard Herriot - 06204 NICE	04 93 37 56 69			DISPOSITIFS SOCIO-TECHNIQUES D’INFORMATION ET DE COMMUNICATION	rasse@unice.fr	43.692685,7.235738	http://i3m.univ-tln.fr/				[43.692685,7.235738],['I3M'],
GERIICO	GROUPE D'ETUDES ET DE RECHERCHE INTERDISCIPLINAIRE EN INFORMATION ET COMMUNICATION	M. Stéphane CHAUDIRON	LILLE 3	"Université de Lille 3, Domaine universitaire du ""Pont de Bois"" BP 60149 - 59653 VILLENEUVE D'ASQ"	03 20 41 68 25			Les mutations des processus de médiation et de médiatisation / Les usages des dispositifs d'information et de communication  / La communication dans les organisations  /Le traitement de l'information et l'organisation des connaissances	stephane.chaudiro@univ-lille3.fr	50.627074,3.130242	http://geriico.recherche.univ-lille3.fr/				[50.627074,3.130242],['GERIICO'],
ELICO	EQUIPE DE RECHERCHE DE LYON EN SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION	Mme Genevieve LALLICH	LYON 2	ELICO, Bâtiment Nautibus, Université Claude Bernard Lyon 1, 43 bd du 11 novembre 1918 - 69622 VILLEURBANNE	04 72 44 58 34			"- les médias : l’analyse des discours et des représentations, l’analyse des pratiques de production associées,
- les bibliothèques numériques : usages, analyse et conception de dispositifs, analyse socio-économique."	isabelle.buisson@univ-lyon1.fr	45.779571,4.872798	http://elico.univ-lyon1.fr/				[45.779571,4.872798],['ELICO'],
LARA	LABORATOIRE DE RECHERCHE EN AUDIOVISUEL	Gilles Methel	TOULOUSE 2	5 allée Antonio Machado - 31058 TOULOUSE	05 61 50 37 18			Esthétique et Histoire. Arts Plastiques. Info-com, média. CPST (centre pluridisciplinaire sémio-linguistique)	lara@univ-tlse2.fr	43.577705,1.404026			savoir plus	../index.php?option=com_content&view=category&id=12	[43.577705,1.404026],['LARA'],
CIMEOS	LABORATOIRE COMMUNICATIONS, MÉDIATIONS, ORGANISATIONS, SAVOIRS	Daniel Raichvarg	DIJON	Institut Denis Diderot, 36 rue Chabot-Charny - 21000 DIJON	03 80 58 98 67			travail sur la thématique de la médiation articulée autour de 3 thèmes principaux: Sensible et symbolique. Culture et musées. Organisations et savoirs		47.319146,5.043137					[47.319146,5.043137],['CIMEOS'],
PRÉFICS	PRÉFICS	Catherine Loneux	RENNES 2 Pôle principal	Bâtiment B, Place du recteur Henri Le Moal - 35043 RENNES				Vocation pluridisciplinaire et internationale. Le PREFICS résulte de la fusion des laboratoires EA 3207 (Rennes) et 4246 DYNADIV (Tour). La nouvelle équipe est une équipe multisite (Rennes, Lorient-Vannes Tours). Ses recherches portent sur les dynamiques de diversité langagière et communicationnelle en contexte francophone dans les disciplines des 7e et 71e sections CNU.	philippe.blanchet@univ-rennes2.fr	48.121843,-1.704537	http://www.prefics.org/		http://www.prefics.org/membres/		[48.121843,-1.704537],['PRÉFICS'],
PRÉFICS	PRÉFICS		Lorient-Vannes (UBS)	Université de Bretagne Sud 56000 VANNES											
PRÉFICS	PRÉFICS-DYNADIV	Véronique Castellotti (responsable de site)	TOURS (François Rabelais)	3, rue des tanneurs BP 4103 - 37041 TOURS Cedex					dynadiv@univ-tours.fr		http://dynadiv.univ-tours.fr/				
IRSIC	INSTITUT DE RECHERCHE EN SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION	Françoise Bernard	AIX-MARSEILLE UNIVERSITE	21 rue Virgile Marron - 13392 MARSEILLE Cedex 05	04 91 24 32 61			Environnement et société.  Médias, nouveaux médias et nouvelles pratiques journalistiques. Communication, organisation et innovation. Economie numerique, intelligence économique et veille informationnelle		43.292224,5.390531					[43.292224,5.390531],['IRSIC'],
DICEN	DISPOSITIFS D'INFORMATION ET DE COMMUNICATION À L'ÈRE DU NUMÉRIQUE	Manuel Zacklad	CNAM PARIS	2 rue Conté - 75003 Paris				culture numérique et action collective. Publication communication et accès aux savoirs. TIC et innovation de services, intelligence économique et territoriale. Traçabilité, identités et mémoires numériques.	Contact	48.865833,2.35684					[48.865833,2.35684],['DICEN'],
MICA	MEDIATIONS, INFORMATIONS, COMMUNICATION, ARTS	Valérie Carayol	BORDEAUX 3	Batiment MSHA, 10 esplanade des Antilles - 33607 PESSAC Cedex	05 56 84 68 14			"Réflexion sur ""Mutations des médiations à l’ère du numérique et de la mondialisation"". Quatre axes: Médias. Communication, organisation, société. Information et connaissance. Designer notre vie, scénographies et figures de l'urbanité."	Contact	44.795153,-0.618444					[44.795153,-0.618444],['MICA'],
REEDS -	RECHERCHES EN ECONOMIE ECOLOGIQUE,ECO-INNOVATION ET INGÉNIERIE DU DÉVELOPPEMENT DURABLE	Martin O'Connor	VERSAILLES ST-QUENT.	UVSQ bâtiment aile sud, 15 Bergerie Nationale parc du Château - 78120 RAMBOUILLET	01 39 25 31 14 ou 01 39 25 31 15	01 39 25 31 21		domaine principal: création et l’application de connaissances en économie écologique. S'articule autour de plusieurs thèmes: Dynamiques de systèmes socio-économiques et environnementaux. Stratégie d’éco-innovation et de responsabilité sociétale des entreprises. Aide à la décision privée, publique, et collective. Evaluation économique et environnementale & indicateurs du développement durable. Observation socio-économique et de valeurs environnementales	secretariat.reeds@uvsq.fr	48.646379,1.80127					[48.646379,1.80127],['REEDS -'],
RECIFES	RECHERCHES EN EDUCATION COMPETENCES INTERACTIONS FORMATION ETHIQUE SAVOIRS	Cécile Carra	ARTOIS	Maison de la recherche. Université d'Artois 9, rue du Temple BP 10665 - 62030 ARRAS Cedex	03 21 60 60 44 (secrétariat)	03 21 60 38 12		Normes, déviances et contextes de scolarisation. Ecole, savoir(s) et rapport(s) au(x) savoir(s). Transformation des référentiels en éducation et en formation : nouveaux dispositifs, nouvelles professionnalités		50.285096,2.791008					[50.285096,2.791008],['RECIFES'],
LCF	Langues, textes et communications dans les espaces Créolophones et Francophones	M Michel  WATIN	LA REUNION	Université de la Réunion, 15 avenue René Cassin BP 7115 - 97715 ST DENIS	02 62 93 85 70	22 62 93,85,73	"Equipe pluridisciplinaire 
- Littérature, Information-communication et Linguistique  
- Recherche en Éducation"	"Espaces publics, médias, flux & réseaux
Natures, cultures & patrimonialisation
Sciences, savoirs & sociétés"	michel.watin@univ-reunion.fr	-20.902828,55.484442	http://www.lcf-reunion.fr/				[-20.902828,55.484442],['LCF'],
Com. et Sol.	COMMUNICATION ET SOLIDARITÉ	M Sébastien ROUQUETTE Sebastien.ROUQUETTE@univ-bpclermont.fr	CLERMONT-FERRAND 2	UFR Langues Appliquées, Commerce et Communication  34 avenue Carnot - 63006 CLERMONT-FERRAND Cedex	04 73 40 64 21	04 73 40 64 24		"Recomposition des liens sociaux dans des sociétés pluriculturelles dites de ""communication""."	sebastien.rouquette@univ-bpclermont.fr	45.776578,3.091596	http://comsol.univ-bpclermont.fr/				[45.776578,3.091596],['Com. et Sol.'],
ELLIADD -	EDITION, LANGAGES, LITTÉRATURES, INFORMATIQUE, ARTS, DIDACTIQUES, DISCOURS	M Jean-Marie VIPREY	BESANCON	30-32 rue Mégevand CS 81807 -  25030 BESANCON Cedex	03 81 66 54 59		Equipe pluridisciplinaire	"sciences du langage (CNU-7), de langue et littérature françaises (CNU-9),
 de sciences de l’information et de la communication (CNU-71), des arts 
(CNU-18), de la littérature comparée (CNU-10), des STAPS (CNU-74)."		47.234664,6.02574	http://elliadd.univ-fcomte.fr/				[47.234664,6.02574],['ELLIADD -'],
ASTRAM	ARTS SCIENCES ET TECHNOLOGIES POUR LA RECHERCHE AUDIOVISUELLE ET MULTIMEDIA (ASTRAM)	Mr SAPIEGA Jacques	AIX-MARSEILLE UNIVERSITE	9, Bd Lacanal - 13400 AUBAGNE	04 42 82 41 91			"Traitement du signal et des images
Sciences de l'information et de la communication"	satis@univ-provence.fr	43.289546,5.568436					[43.289546,5.568436],['ASTRAM'],
TECHNE	TECHNOLOGIES NUMERIQUES POUR L'EDUCATION	M. Jean Francois Cerisier (Directeur)	POITIERS	UFR Lettres et Langues Bâtiment A3 1, rue Raymond CANTEL BP 613 - 86000 POITIERS	"Secrétariat : Nelly Charré
Tél. : 05 49 36 62 06
            05 49 36 62 06"			"Sciences humaines économiques et sociales
Le projet scientifique de 
l’EA TECHNE a trait à la diffusion massive des technologies numériques 
et en réseau dans les dispositifs de formation, selon une approche 
délibérément pluridisciplinaire (sciences de l’information et de la 
communication, psychologie cognitive, informatique, sciences de 
l’éducation)"	jean.francois.cerisier@univ-poitiers.fr	50.353073,3.510718	www.mshs.univ-poitiers.fr				[50.353073,3.510718],['TECHNE'],
ICAR	Interactions, Corpus, Apprentissages, Représentations	Mme Sandra TESTON-BONNARD	LYON 2	Université Lumière Lyon2 - 5, av. Pierre Mendès-France CP 11 - 69676 BRON	33 (0)4 78 77 31 18	33 (0)4 78 77 44 09		l’interaction et les corpus	icar-dir@univ-lyon2.fr	45.722757,4.915361	http://icar.univ-lyon2.fr				[45.722757,4.915361],['ICAR'],
ICAR	Interactions, Corpus, Apprentissages, Représentations	Mme Sandra TESTON-BONNARD	LYON 2	Ecole Normale Supérieure de Lyon - Site Descartes - 15, Parvis René Descartes BP 7000 -69342 LYON	33 (0)4 37 37 66 41	33 (0)4 37 37 62 65		l’interaction et les corpus	icar-secretariat@ens-lyon.fr	45.733984,4.833283	http://icar.univ-lyon2.fr				[45.733984,4.833283],['ICAR'],
IRIT	INSTITUT DE RECHERCHE EN INFORMATIQUE DE TOULOUSE	M. Michel DAYDE	TOULOUSE 3	IRIT, Université Paul Sabatier, 118 Route de Narbonne -31062 TOULOUSE CEDEX 9	(33)5 61 55 67 65	(33)5 61 55 62 58		"-Analyse et synthèse de l'information
-Indexation et recherche d’informations 
-Interaction, Coopération, Adaptation par l’Expérimentation
-Raisonnement et décision  
-Modélisation, algorithmes et calcul haute performance
-Architecture, systèmes et réseaux
-Sûreté de développement du logiciel"	info@irit.fr	43.557459,1.466092	http://www.irit.fr/				[43.557459,1.466092],['IRIT'],
STEF	Sciences - Techniques - Education - Formation	M. Eric BRUILLARD	ENS CACHAN	Ecole normale Supérieure de Cachan - Batiment Cournot - 61, avenue du Président Wilson - 94235 CACHAN	01 47 40 76 09	01 47 40 24 59		"Axe 1 : Reconfiguration des curriculums scientifiques et technologiques : curriculums prescrits et curriculums produits, évolution des spécialités enseignantes 
Axe 2 : Implications éducatives et culturelles des mutations 
technoscientifiques et des enjeux de développement et d'environnement 
Axe 3 : Technologies et cultures informatiques : questions didactiques"	info@stef.ens-cachan.fr	48.789591,2.32706	http://www.stef.ens-cachan.fr/				[48.789591,2.32706],['STEF'],
MESHS	Maison Européenne des Sciences de l'Homme et de la Société	M. Arnold MIGUS	LILLE 3	2, rue des Canonniers - 59000 LILLE	03 20 12 58 30	03 20 12 58 31		"Axe 1 : La santé : entre expériences individuelles et dynamiques sociales 
Axe 2 : Dynamiques et gouvernance des sociétés 
Axe 3 : Textes, objets, interprétation, argumentation"		50.639555,3.069967	http://www.meshs.fr/				[50.639555,3.069967],['MESHS'],
